category	challenge	photo
body	Do 100 push-ups today, in as many sets as you need.	You mid-set, or your tally.
body	Hold a plank for a total of 5 minutes today.	You holding the plank, with a timer in frame.
body	Do 150 bodyweight squats today.	You at the bottom of a squat.
body	Walk 12,000 steps today.	Your step counter at the end of the day.
body	Do 50 burpees today.	You mid-burpee, or your tally sheet.
body	Stretch for 20 minutes before bed.	You mid-stretch.
body	Do a 20-minute mobility routine for your hips.	You in a hip-opener pose.
body	Take the stairs every time today.	A staircase you climbed.
body	Do 60 lunges (30 each leg).	You mid-lunge.
body	Hold a wall sit for 3 minutes total.	You against the wall, timer visible.
body	Do 5 minutes of jump rope (or jumping jacks).	You mid-jump.
body	Do 30 minutes of yoga.	You in your favorite pose.
body	Go for a 3-mile walk, run, or ride.	Your route or tracker screen.
body	Do 100 sit-ups or crunches today.	You mid-rep.
body	Do 40 pull-ups or 80 inverted rows today.	The bar or setup you used, with you on it.
body	Do a 10-minute cool-down stretch after your workout.	You stretching.
body	Hang from a bar for 2 minutes total.	You hanging.
body	Do 30 minutes of a sport you haven't played in a while.	The ball, court or gear.
body	Carry something heavy for a 5-minute farmer's walk.	What you carried.
body	Do 20 minutes of foam rolling.	You on the roller.
body	Do 200 jumping jacks.	You mid-jack.
body	Hold a 2-minute deep squat, in sets if needed.	You in the squat.
body	Walk or stand for 10 minutes after every meal today.	Where you walked.
body	Do 3 rounds: 20 squats, 15 push-ups, 10 burpees.	Your finished rounds, written down.
body	Swim, bike, or row for 20 minutes.	The pool, bike or rower.
body	Do 50 glute bridges.	You at the top of a bridge.
body	Balance on one foot for 2 minutes per leg.	You balancing.
body	Do 25 slow tempo push-ups (3 seconds down).	You at the bottom of a rep.
body	Take a 20-minute walk without your phone (photo after).	Where you ended up.
body	Do 10 minutes of shadowboxing.	You in your stance.
body	Try a workout class or video you've never done.	The class or screen.
body	Do 100 calf raises.	You on your toes.
body	Hold a side plank for 1 minute per side.	You in a side plank.
body	Climb 30 flights of stairs today (total).	The stairwell or tracker.
body	Do 20 minutes of core work.	You mid-exercise.
body	Walk a mile at a brisk pace, timed.	Your time.
body	Stand up and move for 2 minutes every hour you're awake.	Your hourly checklist.
body	Do 50 mountain climbers, 3 times today.	You mid-climber.
